202417050385,Ana Clara Silva,ana.silva24@aluno.iff.edu.br
202325010123,Bruno Costa Oliveira,bruno.oliveira23@aluno.iff.edu.br
202216030456,Carla Dias de Andrade,carla.andrade22@aluno.iff.edu.br
202418020789,Diego Mendes Souza,diego.souza24@aluno.iff.edu.br
202315040910,Fernanda Gonçalves Ribeiro,fernanda.ribeiro23@aluno.iff.edu.br
202227060111,Rodrigo Alves Moreira,rodrigo.moreira22@aluno.iff.edu.br
202419080212,Juliana Pereira Lima,juliana.lima24@aluno.iff.edu.br
202314090313,Marcelo dos Santos,marcelo.santos23@aluno.iff.edu.br
202226100414,Patricia Souza Martins,patricia.martins22@aluno.iff.edu.br
202417110515,Lucas Ferreira Almeida,lucas.almeida24@aluno.iff.edu.br
